"GUID","Label","AllowIPNM"
"3de8af03-05d4-4fd8-8e6d-ba886dc5446f","MULTIRECORD_MEASURE_COUNT_COMPLIANT_MAXDEPTH_INRANGE",
"6a3baf78-5ec3-4a84-8c6b-6876b3a4e3b5","MULTIRECORD_MEASURE_COUNT_COMPLIANT_MAXELEVATION_INRANGE",
"9c66c116-6644-45b4-b4c7-db7a4ee7c500","MULTIRECORD_MEASURE_COUNT_COMPLIANT_MINDEPTH_INRANGE",
"b21256c2-4bb7-4deb-852d-a9eaa05345e7","MULTIRECORD_MEASURE_COUNT_COMPLIANT_MINDEPTH_LESSTHAN_MAXDEPTH",
"071267a0-d993-4961-a3f7-d8210810d167","MULTIRECORD_MEASURE_COUNT_COMPLIANT_MINELEVATION_INRANGE",
"be2eb717-b390-47d1-b7ba-965a1101e215","MULTIRECORD_MEASURE_COUNT_COMPLIANT_MINELEVATION_LESSTHAN_MAXELEVATION",
"c3b4cd93-a37f-4a0a-89dd-7ce53669f1f3","MULTIRECORD_MEASURE_COUNT_COMPLIANT_MONTH_STANDARD",
"36ea0a78-a079-4014-aca3-2f2b3b11e822","MULTIRECORD_MEASURE_COUNT_COMPLIANT_NAMEPUBLISHEDINYEAR_NOTEMPTY",
"0c9a139e-5d23-44de-a495-14ec08c61a1c","MULTIRECORD_MEASURE_COUNT_COMPLIANT_OCCURRENCEID_NOTEMPTY",
"298db0c9-a85a-41ee-b111-d622fd969d71","MULTIRECORD_MEASURE_COUNT_COMPLIANT_OCCURRENCESTATUS_NOTEMPTY",
"faca6558-dbff-4d26-a5cb-e11cdf632fe7","MULTIRECORD_MEASURE_COUNT_COMPLIANT_OCCURRENCESTATUS_STANDARD",
"f4fa449c-4b74-4dcf-b4cf-0b73e1496375","MULTIRECORD_MEASURE_COUNT_COMPLIANT_ORDER_FOUND",
"15e0da1d-1a43-4075-8454-b2e618cdd25b","MULTIRECORD_MEASURE_COUNT_COMPLIANT_PATHWAY_STANDARD",
"65e66ca0-e9d1-4411-ad26-bb9c43f32afc","MULTIRECORD_MEASURE_COUNT_COMPLIANT_PHYLUM_FOUND",
"7da5428e-87b2-4ec2-be82-05b9398b7577","MULTIRECORD_MEASURE_COUNT_COMPLIANT_POLYNOMIAL_CONSISTENT",
"4e70b0e4-3fd2-4899-802c-439671374eeb","MULTIRECORD_MEASURE_COUNT_COMPLIANT_SCIENTIFICNAME_FOUND",
"0f8b30e2-59dc-46ba-8b91-62049cd1a4e2","MULTIRECORD_MEASURE_COUNT_COMPLIANT_SCIENTIFICNAME_NOTEMPTY",
"dbf3cece-1d83-426e-a5e0-8158fcf9c0cd","MULTIRECORD_MEASURE_COUNT_COMPLIANT_SCIENTIFICNAMEAUTHORSHIP_NOTEMPTY",
"f174ad13-3c67-49f9-8d8b-aba4e933d6f6","MULTIRECORD_MEASURE_COUNT_COMPLIANT_SCIENTIFICNAMEID_COMPLETE",
"a9962d33-ad08-453a-8938-2972425034c2","MULTIRECORD_MEASURE_COUNT_COMPLIANT_SCIENTIFICNAMEID_NOTEMPTY",
"e4d35063-2366-4dda-8eaa-326340361da3","MULTIRECORD_MEASURE_COUNT_COMPLIANT_SEX_STANDARD",
"76008c6b-c56a-4233-84e3-8584950037ec","MULTIRECORD_MEASURE_COUNT_COMPLIANT_STARTDAYOFYEAR_INRANGE",
"58fdd5c1-6201-49a1-a7cd-f49c210dc0b6","MULTIRECORD_MEASURE_COUNT_COMPLIANT_STATEPROVINCE_FOUND",
"54d290e8-ac48-4f31-8af3-676363573217","MULTIRECORD_MEASURE_COUNT_COMPLIANT_TAXON_NOTEMPTY",
"782773c9-7b37-483d-8ce2-c6683ba81882","MULTIRECORD_MEASURE_COUNT_COMPLIANT_TAXON_UNAMBIGUOUS",
"de661615-b338-4557-af5b-d44a89de40fa","MULTIRECORD_MEASURE_COUNT_COMPLIANT_TAXONRANK_NOTEMPTY",
"602bc457-6b1d-4f24-adef-d0d31bcdf2f0","MULTIRECORD_MEASURE_COUNT_COMPLIANT_TAXONRANK_STANDARD",
"b5a14d76-292e-499b-b80f-9546243311a0","MULTIRECORD_MEASURE_COUNT_COMPLIANT_TYPESTATUS_STANDARD",
"aee65eb8-8d1e-4b8f-bd37-5822e29f5734","MULTIRECORD_MEASURE_COUNT_COMPLIANT_YEAR_INRANGE",
"687d3ad1-93a3-4a1f-b69f-da5a1eb761a5","MULTIRECORD_MEASURE_COUNT_COMPLIANT_YEAR_NOTEMPTY",
"c8c61535-ab1a-4ec6-b4e9-f5f02541d7d8","MULTIRECORD_MEASURE_QA_BASISOFRECORD_NOTEMPTY",
